Type,Session Code,Date,Day,Session,Room #,Value Chain,Training Module / Topic,Trainers/Support,EPF PIC,Virtual Room,Teams Link,Meeting ID,Meeting Passcode,AM,PM,Invitation Status
UAT,UAT025,46253,Wednesday,09:00 - 17:45,S08.12,P2F - Plan to Forecast,Budget Approval for Asset  / OPEX / Project / KPI 01,Yee Yin / Michael,JKEW_FPR-FPA-BCM,Virtual Room 06,https://teams.microsoft.com/meet/484557856056531?p=3JG7ax5sTHBWjtBfsE,484 557 856 056 531,PR3tq6gY,Y,Y,Draft
UAT,UAT026,46254,Thursday,09:00 - 17:45,S06.08,P2F - Plan to Forecast,Budget Approval for Asset  / OPEX / Project / KPI 02,Yee Yin / Michael,JKEW_FPR-FPA-BCM,Virtual Room 10,https://teams.microsoft.com/meet/411464523878717?p=ObG8GMlrj8SnPKwj7m,411 464 523 878 717,389Bw396,Y,Y,Draft
UAT,UAT027,46254,Thursday,09:00 - 17:45,S06.13,R2R - Record to Report,Settlement and Payment 01,Husaimi/Jen/Ardhya,JKEW-FO-SP,Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT028,46254,Thursday,09:00 - 17:45,S07.09,R2R - Record to Report,SAC Dashboard : Master Data + CFO dashboard,Thomas / Michael,"JKEW_FPR-SR-FR, JKEW_FII",Virtual Room 11,https://teams.microsoft.com/meet/478795693174198?p=xgNFmyImYxfOEEOSva,478 795 693 174 198,gx3ux7Rp,Y,Y,Draft
UAT,UAT029,46254,Thursday,09:00 - 17:45,S08.12,P2P - Procure to Pay,Purchase Requisitioining,Harith,"JKEW_SDS-MDMDA, JPPB, JPH",Virtual Room 06,https://teams.microsoft.com/meet/484557856056531?p=3JG7ax5sTHBWjtBfsE,484 557 856 056 531,PR3tq6gY,Y,Y,Draft
UAT,UAT030,46254,Thursday,09:00 - 17:45,D10.08,"CDL - Consolidation, Disclosure, and Reporting",Consolidation Process 01,Sudharsan/May Wong,"JKEW_FPR-SR, JKEW_SDS-MDMDA",Virtual Room 16,https://teams.microsoft.com/meet/454019131398709?p=oLgSqIwNkAOhf9iUzp,454 019 131 398 709,DW6Kp6yE,Y,Y,Draft
UAT,UAT031,46255,Friday,09:00 - 17:45,S06.13,R2R - Record to Report,Settlement and Payment 02,Husaimi/Jen/Ardhya,JKEW-FO-SP,Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT032,46255,Friday,09:00 - 17:45,S08.12,"CDL - Consolidation, Disclosure, and Reporting",Consolidation Process 02,Sudharsan/May Wong,"JKEW_FPR-SR, JKEW_SDS-MDMDA",Virtual Room 06,https://teams.microsoft.com/meet/484557856056531?p=3JG7ax5sTHBWjtBfsE,484 557 856 056 531,PR3tq6gY,Y,Y,Draft
UAT,UAT033,46255,Friday,09:00 - 17:45,S06.17,P2P - Procure to Pay,Purchase Order,Harith,"JKEW_SDS-MDMDA, JPPB, JPH",Virtual Room 12,https://teams.microsoft.com/meet/48658904219661?p=VYINRWZPam7XGLqqxh,486 589 042 196 61,rk6Rk7xW,Y,Y,Draft
UAT,UAT034,46255,Friday,09:00 - 17:45,S07.09,P2F - Plan to Forecast,Budget Retraction for IFAMS for Budget Control + Funds Management Transaction,Yee Yin / Michael," JKEW_FPR-FPA-BCM, Branch/ Department",Virtual Room 11,https://teams.microsoft.com/meet/478795693174198?p=xgNFmyImYxfOEEOSva,478 795 693 174 198,gx3ux7Rp,Y,Y,Draft
UAT,UAT035,46258,Monday,09:00 - 17:45,N02.01,"CDL - Consolidation, Disclosure, and Reporting",Period End + Reporting 01,Sudharsan/May Wong,"JKEW_FPR-SR, JKEW_SDS-MDMDA",Virtual Room 08,https://teams.microsoft.com/meet/464625497134867?p=CrZomroHIetQ9yRmz4,464 625 497 134 867,y88K8a2z,Y,Y,Draft
UAT,UAT036,46258,Monday,09:00 - 17:45,S08.11,R2R - Record to Report,AP - Settlement & Payment and CENTRA,Husaimi/Jen/Ardhya,JKEW_FO-SP,Virtual Room 03,https://teams.microsoft.com/meet/424903206597708?p=lrmHbQOZ3ZY6uCYsmi,424 903 206 597 708,sV7aR6nE,Y,Y,Draft
UAT,UAT037,46258,Monday,09:00 - 17:45,S07.09,P2F - Plan to Forecast,OPEX + Project Forecasting data,Yee Yin / Michael," JKEW_FPR-FPA-BCM, Branch/ Department",Virtual Room 11,https://teams.microsoft.com/meet/478795693174198?p=xgNFmyImYxfOEEOSva,478 795 693 174 198,gx3ux7Rp,Y,Y,Draft
UAT,UAT038,46258,Monday,09:00 - 17:45,S06.13,P2P - Procure to Pay,Good Receipt,Harith,"JKEW_SDS-MDMDA, JPPB, JPH",Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT039,46260,Wednesday,09:00 - 17:45,S08.12,R2R - Record to Report,Month End : Process 01,Husaimi/Jen/Ardhya,JKEW_FO-SP,Virtual Room 06,https://teams.microsoft.com/meet/484557856056531?p=3JG7ax5sTHBWjtBfsE,484 557 856 056 531,PR3tq6gY,Y,Y,Draft
UAT,UAT040,46260,Wednesday,09:00 - 17:45,S08.11,"CDL - Consolidation, Disclosure, and Reporting",Reporting 02,Sudharsan/May Wong,"JKEW_FPR-SR, JKEW_SDS-MDMDA",Virtual Room 03,https://teams.microsoft.com/meet/424903206597708?p=lrmHbQOZ3ZY6uCYsmi,424 903 206 597 708,sV7aR6nE,Y,Y,Draft
UAT,UAT041,46260,Wednesday,09:00 - 17:45,S07.09,REP - Report & Dashboard,"SAC Dashboard : Master Data + Budget dashboard	",Max / Thomas / Michael,JKEW_FPR-FPA-MR,Virtual Room 11,https://teams.microsoft.com/meet/478795693174198?p=xgNFmyImYxfOEEOSva,478 795 693 174 198,gx3ux7Rp,Y,Y,Draft
UAT,UAT042,46260,Wednesday,09:00 - 17:45,S02.07,P2P - Procure to Pay,Invoicing,Harith,"JKEW_SDS-MDMDA, JPPB, JPH",Virtual Room 02,https://teams.microsoft.com/meet/441232180360953?p=VYpicaXv7gV5cBtWbm,441 232 180 360 953,92ff7mC6,Y,Y,Draft
UAT,UAT043,46261,Thursday,09:00 - 17:45,S09.07,R2R - Record to Report,Month End : Process 02,Husaimi/Jen/Ardhya,"JKEW_FO-FA-MEC, JKEW_FO-SP",Virtual Room 13,https://teams.microsoft.com/meet/456781618046499?p=ltgV5RiyDlIlZ6KrnN,456 781 618 046 499,jn2RM2G3,Y,Y,Draft
UAT,UAT044,46261,Thursday,09:00 - 17:45,S06.13,P2C - Project to Close,Project Budget Carry Forward,Fatir,"JKEW_FPR-FPA-BCM, JKEW_FII",Virtual Room 01,https://teams.microsoft.com/meet/461920793413683?p=rD0CzJub0dK6wHJ1Et,461 920 793 413 683,LA3o4of2,Y,Y,Draft
UAT,UAT045,46261,Thursday,09:00 - 17:45,S02.07,"CDL - Consolidation, Disclosure, and Reporting",BiExport - Annual Report,Sudharsan/May Wong,"JKEW_FPR-SR, JKEW_SDS-MDMDA",Virtual Room 02,https://teams.microsoft.com/meet/441232180360953?p=VYpicaXv7gV5cBtWbm,441 232 180 360 953,92ff7mC6,Y,Y,Draft
UAT,UAT046,46262,Friday,09:00 - 17:45,S08.12,R2R - Record to Report,MEC : Period End 01,Husaimi/Jen/Ardhya,JKEW_FO-FA-MEC,Virtual Room 06,https://teams.microsoft.com/meet/484557856056531?p=3JG7ax5sTHBWjtBfsE,484 557 856 056 531,PR3tq6gY,Y,Y,Draft
UAT,UAT047,46262,Friday,09:00 - 17:45,S08.11,P2C - Project to Close,"Settlement & Capitalization	",Fatir,"JKEW_FPR-FPA-BCM, JKEW_FII",Virtual Room 03,https://teams.microsoft.com/meet/424903206597708?p=lrmHbQOZ3ZY6uCYsmi,424 903 206 597 708,sV7aR6nE,Y,Y,Draft
UAT,UAT048,01/09/2026,Tuesday,09:00 - 17:45,S08.12,R2R - Record to Report,MEC : Period End 02,Husaimi/Jen/Ardhya,JKEW_FO-FA-MEC,Virtual Room 06,https://teams.microsoft.com/meet/484557856056531?p=3JG7ax5sTHBWjtBfsE,484 557 856 056 531,PR3tq6gY,Y,Y,Draft
UAT,UAT049,01/09/2026,Tuesday,09:00 - 17:45,S08.11,P2C - Project to Close,Reporting,Fatir,"JKEW_FPR-SR-FR, JKEW_FII",Virtual Room 03,https://teams.microsoft.com/meet/424903206597708?p=lrmHbQOZ3ZY6uCYsmi,424 903 206 597 708,sV7aR6nE,Y,Y,Draft
UAT,UAT050,02/09/2026,Wednesday,09:00 - 17:45,TBC,E2E - End to End Session,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT051,03/09/2026,Thursday,09:00 - 17:45,TBC,E2E - End to End Session,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT052,03/09/2026,Thursday,09:00 - 17:45,TBC,E2E - End to End Session,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT053,03/09/2026,Thursday,09:00 - 17:45,TBC,E2E - End to End Session,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT054,04/09/2026,Friday,09:00 - 17:45,TBC,E2E - End to End Session,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT055,04/09/2026,Friday,09:00 - 17:45,TBC,E2E - End to End Session,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT056,04/09/2026,Friday,09:00 - 17:45,TBC,UAT - Issue Resolution,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT057,04/09/2026,Friday,09:00 - 17:45,TBC,UAT - Issue Resolution,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT058,07/09/2026,Monday,09:00 - 17:45,TBC,UAT - Issue Resolution,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT059,07/09/2026,Monday,09:00 - 17:45,TBC,UAT - Issue Resolution,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
UAT,UAT060,07/09/2026,Monday,09:00 - 17:45,TBC,UAT - Issue Resolution,TBC,TBC,TBC,Virtual Room 88,https://teams.microsoft.com/meet/427545343666626?p=ErwknBolfzbIjxZbOD,427 545 343 666 626,8DD9oa2c,Y,Y,Draft
Training,EUT001,09/01/2026,Tuesday,09:00 - 17:00,Room 1 (TBC),R2R - Record to Report,Reports,Charlie/Jen/Ardhya,Syuhada/Yus/Dalila/Norzila/Hisham/Rohazlina/Nassar/FaZa,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT002,09/02/2026,Wednesday,09:00 - 12:30,Room 2 (TBC),"CDL - Consolidation, Disclosure, and Reporting",Submission and Review of Group level data,Sudharsan/May Wong,FaZa,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,N,Draft
Training,EUT003,09/02/2026,Wednesday,09:00 - 12:30,Room 3 (TBC),P2F - Plan to Forecast,Define Budget Parameters,Yee Yin / Britney,Sharini,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,N,Draft
Training,EUT004,09/02/2026,Wednesday,09:00 - 17:00,Room 1 (TBC),R2R - Record to Report,Settlement & Payment,Charlie/Jen/Ardhya,Norzila,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT005,09/02/2026,Wednesday,14:15 - 17:30,Room 2 (TBC),"CDL - Consolidation, Disclosure, and Reporting",Review Group and Fund level reports,Sudharsan/May Wong,FaZa,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,N,Y,Draft
Training,EUT006,09/03/2026,Thursday,09:00 - 12:30,Room 2 (TBC),"CDL - Consolidation, Disclosure, and Reporting",Close Period of Consolidation,Sudharsan/May Wong,FaZa,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,N,Draft
Training,EUT007,09/03/2026,Thursday,09:00 - 12:30,Room 3 (TBC),R2R - Record to Report,CORE,Charlie/Jen/Ardhya,Rohazlina,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,N,Draft
Training,EUT008,09/03/2026,Thursday,09:00 - 17:00,Room 1 (TBC),P2P - Procure to Pay,Invoice & Payment,Harith,Shah Rizal/Norzila,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT009,09/03/2026,Thursday,14:15 - 17:30,Room 2 (TBC),"CDL - Consolidation, Disclosure, and Reporting",Prepare and review Group Journal adjustments,Sudharsan/May Wong,FaZa,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,N,Y,Draft
Training,EUT010,09/04/2026,Friday,09:00 - 12:30,Room 1 (TBC),R2R - Record to Report,Non PO invoices submission & approval,Charlie/Jen/Ardhya,Norzila,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,N,Draft
Training,EUT011,09/04/2026,Friday,09:00 - 12:30,Room 2 (TBC),"CDL - Consolidation, Disclosure, and Reporting",Submission and Review of Fund level data,Sudharsan/May Wong,FaZa,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,N,Draft
Training,EUT012,09/04/2026,Friday,14:15 - 17:30,Room 1 (TBC),P2P - Procure to Pay,Service Entry Sheet (SES) Maintenance,Harith,Lokman/ Ahmad Yus,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,N,Y,Draft
Training,EUT013,09/04/2026,Friday,14:15 - 17:30,Room 2 (TBC),"CDL - Consolidation, Disclosure, and Reporting",Preparation of Consolidation Process,Sudharsan/May Wong,FaZa,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,N,Y,Draft
Training,EUT014,09/07/2026,Monday,09:00 - 17:00,Room 1 (TBC),P2P - Procure to Pay,Requisitioning,Harith,Ibrahim/ Shah Rizal/ Azhar/ Lokman,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT015,09/08/2026,Tuesday,09:00 - 17:00,Room 1 (TBC),P2P - Procure to Pay,Receiving & Receipting,Harith,Ibrahim/ Shah Rizal/ Azhar/ Lokman,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT016,09/09/2026,Wednesday,09:00 - 17:00,Room 1 (TBC),P2P - Procure to Pay,Ordering,Harith,Ibrahim/ Shah Rizal/ Azhar/ Lokman,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT017,09/09/2026,Wednesday,09:00 - 17:00,Room 2 (TBC),R2R - Record to Report,Month end,Charlie/Jen/Ardhya,Syuhada,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT018,09/10/2026,Thursday,09:00 - 17:00,Room 1 (TBC),P2P - Procure to Pay,Supplier Request & Registration,Harith/Britney,Shahrul,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT019,09/11/2026,Friday,09:00 - 17:00,Room 1 (TBC),P2F - Plan to Forecast,Key in Budget Application (OPEX) & Non-Voted,Yee Yin / Britney,Sharini,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT020,09/14/2026,Monday,09:00 - 17:00,Room 1 (TBC),P2F - Plan to Forecast,Initiate Budget Allocation Application,Alan,Sharini,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT021,09/15/2026,Tuesday,09:00 - 17:00,Room 1 (TBC),P2F - Plan to Forecast,Perform Budget Monitoring Forecast,Yee Yin / Britney,Sharini,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
Training,EUT022,09/17/2026,Thursday,09:00 - 17:00,Room 1 (TBC),P2F - Plan to Forecast,Key in Budget Application (CAPEX),Yee Yin / Britney,Sharini,Virtual Room 99,https://teams.microsoft.com/meet/498217615299242?p=fHEZrnlPaqSPN8yZaY,498 217 615 299 242,Hk3jo6aC,Y,Y,Draft
